1,,1
2,,2
3,,3
4,,4
5,,5
6,,6
7,,7
8,,8
9,"AeroCool Bionic — это корпус формата Mid-Tower, который представляет собой сочетание минималистского дизайна, великолепного оформления с декоративным окном из закаленного стекла, максимально просто оформленного внутреннего пространства и различных вариантов охлаждения. Корпус имеет пространство как для установки вентиляторов, так и радиаторов СЖО. Удобство сборки достигается благодаря простой и интуитивно понятной организации внутреннего пространства. Наличие специального отсека для прокладки кабелей и крышки блока питания гарантирует простоту и точность сборки.",9
10,Корпус Mid-Tower со стильным дизайном светодиодной RGB-подсветки на передней панели. Акриловая передняя панель демонстрирует передние вентиляторы со светодиодной подсветкой (не входят в комплект). Боковая панель из акрила для демонстрации внутренней части системы. ,10
11,,11
12,"Игровой корпус NX220 формата Mid-Tower легко сочетает в себе множество востребованных функций: возможность подключения USB 3.0, множество отсеков для накопителей, место для расширения и включает в себя один 120-мм вентилятор со светодиодной подсветкой ARGB на задней панели. Благодаря поддержке радиатора жидкостного охлаждения размером до 240 мм спереди, NX220 легко собрать и легко охладить.",12
13,,13
14,Asus Rog ROG Z11 – стильный корпус для сборки современного игрового компьютера. Он оснащён RGB-подсветкой и прозрачными боковыми панелями – во время работы блок будет выглядеть особенно привлекательно. ,14
15,,15
16,,16
17,,17
18,"FSP CMT211 – вмещает  себя плату форм-фактору ATX, вмещающее видеокарту до 320 мм в длину и процессорный кулер до 160 мм в высоту. Он сделан из прочной стали SPCC с чёрным покрытием. Передняя световая панель CMT211 полностью адресуема и совместима с большинством программ синхронизации материнских плат, таких как ASRock Polychrome Sync, Asus Aura Sync, Gigabyte RGB Fusion и MSI Mystic Light Sync. CMT211  специально разработан для геймеров и представляет собой идеальное сочетание технологий и элегантности.",18
19,"FSP CMT211A – вмещает  себя плату форм-фактору ATX, вмещающее видеокарту до 320 мм в длину и процессорный кулер до 160 мм в высоту. Он сделан из прочной стали SPCC с чёрным покрытием. Передняя световая панель CMT211A полностью адресуема и совместима с большинством программ синхронизации материнских плат, таких как ASRock Polychrome Sync, Asus Aura Sync, Gigabyte RGB Fusion и MSI Mystic Light Sync. CMT211A специально разработан для геймеров и представляет собой идеальное сочетание технологий и элегантности.",19
20,"FSP CMT212A – вмещает  себя плату форм-фактору ATX, вмещающее видеокарту до 320 мм в длину и процессорный кулер до 160 мм в высоту. Он сделан из прочной стали SPCC с чёрным покрытием. Передняя световая панель CMT212A полностью адресуема и совместима с большинством программ синхронизации материнских плат, таких как ASRock Polychrome Sync, Asus Aura Sync, Gigabyte RGB Fusion и MSI Mystic Light Sync. CMT212A специально разработан для геймеров и представляет собой идеальное сочетание технологий и элегантности.",20
21,"FSP CMT271A — это корпус ATX с большим пространством для высокопроизводительных графических карт с максимальной длиной 325 мм. В просторном корпусе также есть место для процессорного кулера высотой 170 мм. Шасси имеет чёрное покрытие поверх стальной рамы SPCC. FSP CMT271A специально разработан для геймеров, которые хотят получить идеальное сочетание технологий и элегантности.",21
22,"Серия CMT340 представляет собой корпус для ПК формата Mid-Tower, разработанный для киберспортсменов и геймеров. Он оснащён двумя полупрозрачными панелями из тонированного закалённого стекла, гладким металлическим корпусом и полностью чёрным покрытием внутри и снаружи, что придаёт ему обтекаемый вид. CMT340 — это полный пакет с внешним видом и функциями, которые вы хотели бы видеть в корпусе игрового ПК.",22
23,"FSP CMT510 — это корпус для ПК формата Mid-Tower, разработанный для киберспорта и продвинутых геймеров. Он оснащён 3 полупрозрачными панелями из тёмного закаленного стекла Galaxy, прочным обтекаемым корпусом, полностью чёрным покрытием внутри и снаружи для изысканного и стильного внешнего вида, а также оснащён 4 встроенными вентиляторами со светодиодной подсветкой RGB. FSP CMT510 — это полный пакет с внешним видом и функциями, необходимыми для корпуса ПК высокого класса.",23
24,"FSP CMT510 PLUS — это корпус для ПК формата Mid-Tower, разработанный для киберспорта и продвинутых геймеров. Он оснащён 3 полупрозрачными панелями из тёмного закаленного стекла Galaxy, прочным обтекаемым корпусом, полностью чёрным покрытием внутри и снаружи для изысканного и стильного внешнего вида, а также оснащён 4 встроенными вентиляторами со светодиодной подсветкой RGB. FSP CMT510 PLUS — это полный пакет с внешним видом и функциями, необходимыми для корпуса ПК высокого класса.",24
25,"GALAX REVOLUTION-01 - выполнен в формате Mid Tower. Корпус игровой дизайн с панелью из закалённого стекла в боковой части. В корпус изначально установлены четыре 120-миллиметровых вентилятора с RGB-подсветкой: три располагаются спереди, ещё один — сзади.",25
26,,26
27,,27
